,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
125,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
128,Cervical spondylosis,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Cervical spondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Paralysis (brain hemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Paralysis (brain hemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Paralysis (brain hemorrhage),5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Paralysis (brain hemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Paralysis (brain hemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
141,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
142,Jaundice,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
143,Jaundice,1,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
144,Jaundice,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
145,Jaundice,1,5,4,7,3,4,4,0,0,0,0,0,0,0,0,0,0
146,Jaundice,1,5,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0
147,Jaundice,1,5,4,3,7,4,4,0,0,0,0,0,0,0,0,0,0
148,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
149,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
150,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
151,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
152,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
153,Malaria,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
154,Malaria,3,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
155,Malaria,3,5,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
156,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
157,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
158,Malaria,3,5,7,3,3,6,2,0,0,0,0,0,0,0,0,0,0
159,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
160,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
161,Chicken pox,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
162,Chicken pox,1,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
163,Chicken pox,1,3,2,7,3,4,5,6,6,3,0,0,0,0,0,0,0
164,Chicken pox,1,3,4,7,3,4,5,6,6,3,0,0,0,0,0,0,0
165,Chicken pox,1,3,4,2,3,4,5,6,6,3,0,0,0,0,0,0,0
166,Chicken pox,1,3,4,2,7,4,5,6,6,3,0,0,0,0,0,0,0
167,Chicken pox,1,3,4,2,7,3,5,6,6,3,0,0,0,0,0,0,0
168,Chicken pox,1,3,4,2,7,3,4,6,6,3,0,0,0,0,0,0,0
169,Chicken pox,1,3,4,2,7,3,4,5,6,3,0,0,0,0,0,0,0
170,Dengue,3,3,3,5,4,7,3,5,4,4,3,2,3,0,0,0,0
171,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,3,0,0,0,0
172,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,0,0,0,0
173,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
174,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
175,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
176,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
177,Dengue,3,3,3,4,7,3,5,4,4,3,6,2,3,0,0,0,0
178,Dengue,3,3,3,5,7,3,5,4,4,3,6,2,3,0,0,0,0
179,Dengue,3,3,3,5,4,3,5,4,4,3,6,2,3,0,0,0,0
180,Typhoid,3,5,4,7,5,4,4,6,5,4,0,0,0,0,0,0,0
181,Typhoid,3,5,4,7,3,4,4,6,5,4,0,0,0,0,0,0,0
182,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
183,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
184,Typhoid,3,5,4,7,3,5,4,4,5,4,0,0,0,0,0,0,0
185,Typhoid,3,5,4,7,3,5,4,4,6,4,0,0,0,0,0,0,0
186,Typhoid,3,5,4,7,3,5,4,4,6,5,0,0,0,0,0,0,0
187,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
188,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
189,Typhoid,3,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0,0
190,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
191,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
192,hepatitis A,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
193,hepatitis A,3,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
194,hepatitis A,3,5,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
195,hepatitis A,3,5,3,5,4,4,6,5,4,2,0,0,0,0,0,0,0
196,hepatitis A,3,5,3,4,4,4,6,5,4,2,0,0,0,0,0,0,0
197,hepatitis A,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
198,hepatitis A,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
199,hepatitis A,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
200,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
201,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
202,Hepatitis B,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
203,Hepatitis B,1,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
204,Hepatitis B,1,4,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
205,Hepatitis B,1,4,2,4,4,4,4,4,6,5,2,0,0,0,0,0,0
206,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
207,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
208,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
209,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
210,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
211,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
212,Hepatitis C,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
213,Hepatitis C,4,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
214,Hepatitis C,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
215,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
216,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
217,Hepatitis C,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
218,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
219,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
220,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
221,Hepatitis D,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
222,Hepatitis D,3,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
223,Hepatitis D,3,5,3,4,5,4,4,4,0,0,0,0,0,0,0,0,0
224,Hepatitis D,3,5,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0
225,Hepatitis D,3,5,4,3,5,4,4,4,0,0,0,0,0,0,0,0,0
226,Hepatitis D,3,5,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0
227,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
228,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
229,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
230,Hepatitis E,3,5,4,7,3,4,5,4,4,4,7,6,0,0,0,0,0
231,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
232,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
233,Hepatitis E,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
234,Hepatitis E,3,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
235,Hepatitis E,3,5,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
236,Hepatitis E,3,5,4,3,4,5,4,4,4,6,7,6,0,0,0,0,0
237,Hepatitis E,3,5,4,7,4,5,4,4,4,6,7,6,0,0,0,0,0
238,Hepatitis E,3,5,4,7,3,5,4,4,4,6,7,6,0,0,0,0,0
239,Hepatitis E,3,5,4,7,3,4,4,4,4,6,7,6,0,0,0,0,0
240,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
241,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
242,Alcoholic hepatitis,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
243,Alcoholic hepatitis,5,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
244,Alcoholic hepatitis,5,3,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
245,Alcoholic hepatitis,5,3,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
246,Alcoholic hepatitis,5,3,4,7,5,6,0,0,0,0,0,0,0,0,0,0,0
247,Alcoholic hepatitis,5,3,4,7,4,6,0,0,0,0,0,0,0,0,0,0,0
248,Alcoholic hepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
249,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
250,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
251,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
252,Tuberculosis,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
253,Tuberculosis,3,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
254,Tuberculosis,3,5,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
255,Tuberculosis,3,5,4,4,7,4,3,4,5,4,6,6,5,7,5,0,0
256,Tuberculosis,3,5,4,3,7,4,3,4,5,4,6,6,5,7,5,0,0
257,Tuberculosis,3,5,4,3,4,4,3,4,5,4,6,6,5,7,5,0,0
258,Tuberculosis,3,5,4,3,4,7,3,4,5,4,6,6,5,7,5,0,0
259,Tuberculosis,3,5,4,3,4,7,4,4,5,4,6,6,5,7,5,0,0
260,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
261,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
262,Common Cold,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
263,Common Cold,4,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
264,Common Cold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
265,Common Cold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
266,Common Cold,4,3,4,4,3,6,6,5,4,5,4,5,5,7,3,2,0
267,Common Cold,4,3,4,4,7,6,6,5,4,5,4,5,5,7,3,2,0
268,Common Cold,4,3,4,4,7,3,6,5,4,5,4,5,5,7,3,2,0
269,Common Cold,4,3,4,4,7,3,6,5,4,5,4,5,5,7,3,2,0
270,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
271,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
272,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
273,Pneumonia,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
274,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
275,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
276,Pneumonia,3,4,4,4,3,6,5,7,5,4,0,0,0,0,0,0,0
277,Pneumonia,3,4,4,7,3,6,5,7,5,4,0,0,0,0,0,0,0
278,Pneumonia,3,4,4,7,4,6,5,7,5,4,0,0,0,0,0,0,0
279,Pneumonia,3,4,4,7,4,3,5,7,5,4,0,0,0,0,0,0,0
280,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
281,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
282,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
283,Dimorphic hemmorhoids(piles),5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Dimorphic hemmorhoids(piles),4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Dimorphic hemmorhoids(piles),4,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Dimorphic hemmorhoids(piles),4,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Dimorphic hemmorhoids(piles),4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
289,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
290,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Heart attack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Heart attack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Heart attack,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Heart attack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Heart attack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
301,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
302,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
303,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
304,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
305,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
306,Varicose veins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
307,Varicose veins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
308,Varicose veins,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0
309,Varicose veins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
310,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
311,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
312,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
